sample_id,file_size_kb,entropy,num_sections,has_digital_signature,suspicious_imports,tls_callbacks_count,debug_size,shadow_copies_deleted,registry_run_modified,file_rename_rate_per_sec,file_modification_entropy_avg,suspicious_extension_changed,cpu_spike_ratio,memory_consumption_mb,network_c2_connections,label,family
BENIGN_01502,967.39,5.3314,5,1,0,0,112,0,0,0.07,4.3334,0,0.2596,145.25,0,0,Benign
MALWARE_00087,839.18,7.3407,9,0,8,0,0,1,1,19.54,7.7081,24,0.8065,58.92,2,1,Maze
MALWARE_00154,530.84,6.7,5,0,3,2,0,1,1,44.45,7.6957,22,0.9225,27.81,2,1,Cerber
BENIGN_01056,1524.7,5.1623,4,1,0,0,56,0,0,0.01,4.0403,0,0.2187,162.62,0,0,Benign
BENIGN_00706,2722.67,4.8059,4,0,0,0,56,0,0,0.3,4.7525,0,0.2046,167.33,0,0,Benign
BENIGN_00107,2142.32,4.3516,4,1,0,0,56,0,0,0.04,4.5803,0,0.1831,110.74,0,0,Benign
BENIGN_00590,1429.4,6.3936,5,1,0,0,112,0,0,0.14,5.3003,0,0.0809,98.85,0,0,Benign
BENIGN_02469,1662.69,4.7748,5,1,1,0,0,0,0,0.04,4.9331,0,0.1252,134.08,0,0,Benign
BENIGN_02414,405.89,5.3097,5,1,1,0,56,0,0,0.1,3.9442,0,0.1219,65.03,0,0,Benign
BENIGN_01601,763.87,4.8329,6,1,0,0,0,0,0,0.53,4.0214,0,0.2081,214.57,0,0,Benign
BENIGN_02465,2515.24,5.4163,5,0,0,0,56,0,0,0.03,4.9596,0,0.146,140.99,0,0,Benign
BENIGN_00229,773.8,6.0154,5,1,1,0,0,0,0,0.2,3.4946,0,0.0784,149.86,0,0,Benign
BENIGN_00916,2948.42,4.4317,4,1,0,0,56,0,0,0.01,4.5579,0,0.1719,89.97,0,0,Benign
BENIGN_00795,2251.17,3.5762,5,1,0,0,56,0,0,0.59,3.7827,0,0.1454,75.3,0,0,Benign
MALWARE_00522,614.07,7.637,9,0,2,1,0,1,1,49.15,7.6817,21,0.8218,25.72,1,1,Cerber
